pid_integral,pid_derivative,pid_proportional,integral_sum,motor_target,gyro_offset,gyro_value,motors_enabled
81.0,11.0,29.0,-10.0,-50.0,2.0,-3.74,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-3.92,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-3.98,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.13,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.09,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.1,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.11,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.07,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.11,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.04,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.02,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.13,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.06,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.11,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.11,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.1,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.02,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-3.95,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-3.95,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-3.98,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.07,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-3.98,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.08,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.12,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.08,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-3.94,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.05,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.09,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.16,True
81.0,11.0,29.0,-10.0,-50.0,2.0,-4.07,True
